dataset,feature_id,feature_label,level1_group,level2_subgroup,source_url
Taiwan,T74,Cash Turnover Rate,Operational efficiency,Asset and working-capital turnover,https://archive.ics.uci.edu/dataset/572/taiwanese+bankruptcy+prediction
Taiwan,T75,Cash Flow to Sales,Operational efficiency,Resource productivity and cash conversion,https://archive.ics.uci.edu/dataset/572/taiwanese+bankruptcy+prediction
Taiwan,T76,Fixed Assets to Assets,Growth/capital capacity,Capital base and per-share capacity,https://archive.ics.uci.edu/dataset/572/taiwanese+bankruptcy+prediction
Taiwan,T77,Current Liability to Liability,Solvency,Leverage and debt service,https://archive.ics.uci.edu/dataset/572/taiwanese+bankruptcy+prediction
Taiwan,T78,Current Liability to Equity,Solvency,Leverage and debt service,https://archive.ics.uci.edu/dataset/572/taiwanese+bankruptcy+prediction
Taiwan,T79,Equity to Long-term Liability,Solvency,Leverage and debt service,https://archive.ics.uci.edu/dataset/572/taiwanese+bankruptcy+prediction
Taiwan,T80,Cash Flow to Total Assets,Operational efficiency,Resource productivity and cash conversion,https://archive.ics.uci.edu/dataset/572/taiwanese+bankruptcy+prediction
Taiwan,T81,Cash Flow to Liability,Operational efficiency,Resource productivity and cash conversion,https://archive.ics.uci.edu/dataset/572/taiwanese+bankruptcy+prediction
Taiwan,T82,CFO to Assets,Operational efficiency,Resource productivity and cash conversion,https://archive.ics.uci.edu/dataset/572/taiwanese+bankruptcy+prediction
Taiwan,T83,Cash Flow to Equity,Operational efficiency,Resource productivity and cash conversion,https://archive.ics.uci.edu/dataset/572/taiwanese+bankruptcy+prediction
Taiwan,T84,Current Liability to Current Assets,Solvency,Liquidity and short-term coverage,https://archive.ics.uci.edu/dataset/572/taiwanese+bankruptcy+prediction
Taiwan,T85,Liability-Assets Flag,Solvency,Leverage and debt service,https://archive.ics.uci.edu/dataset/572/taiwanese+bankruptcy+prediction
Taiwan,T86,Net Income to Total Assets,Profitability,Returns and margins,https://archive.ics.uci.edu/dataset/572/taiwanese+bankruptcy+prediction
Taiwan,T87,Total assets to GNP price,Growth/capital capacity,Capital base and per-share capacity,https://archive.ics.uci.edu/dataset/572/taiwanese+bankruptcy+prediction
Taiwan,T88,No-credit Interval,Operational efficiency,Resource productivity and cash conversion,https://archive.ics.uci.edu/dataset/572/taiwanese+bankruptcy+prediction
Taiwan,T89,Gross Profit to Sales,Profitability,Returns and margins,https://archive.ics.uci.edu/dataset/572/taiwanese+bankruptcy+prediction
Taiwan,T90,Net Income to Stockholder's Equity,Profitability,Returns and margins,https://archive.ics.uci.edu/dataset/572/taiwanese+bankruptcy+prediction
Taiwan,T91,Liability to Equity,Solvency,Leverage and debt service,https://archive.ics.uci.edu/dataset/572/taiwanese+bankruptcy+prediction
Taiwan,T92,Degree of Financial Leverage (DFL),Solvency,Leverage and debt service,https://archive.ics.uci.edu/dataset/572/taiwanese+bankruptcy+prediction
Taiwan,T93,Interest Coverage Ratio (Interest expense to EBIT),Solvency,Leverage and debt service,https://archive.ics.uci.edu/dataset/572/taiwanese+bankruptcy+prediction
Taiwan,T94,Net Income Flag,Profitability,Earnings quality and cost burden,https://archive.ics.uci.edu/dataset/572/taiwanese+bankruptcy+prediction
Taiwan,T95,Equity to Liability,Solvency,Leverage and debt service,https://archive.ics.uci.edu/dataset/572/taiwanese+bankruptcy+prediction
American,X1,Current assets,Solvency/obligations,Current liquidity position,https://doi.org/10.3390/fi14080244
American,X2,Cost of goods sold,Operating activity,Cost structure,https://doi.org/10.3390/fi14080244
American,X3,Depreciation and amortization,Operating activity,Cost structure,https://doi.org/10.3390/fi14080244
American,X4,EBITDA,Profitability/earnings,Operating earnings,https://doi.org/10.3390/fi14080244
American,X5,Inventory,Operating activity,Working-capital activity,https://doi.org/10.3390/fi14080244
American,X6,Net income,Profitability/earnings,Net and accumulated earnings,https://doi.org/10.3390/fi14080244
American,X7,Total receivables,Operating activity,Working-capital activity,https://doi.org/10.3390/fi14080244
American,X8,Market value,Scale/market position,Market and asset scale,https://doi.org/10.3390/fi14080244
American,X9,Net sales,Scale/market position,Revenue and sales scale,https://doi.org/10.3390/fi14080244
American,X10,Total assets,Scale/market position,Market and asset scale,https://doi.org/10.3390/fi14080244
American,X11,Total long-term debt,Solvency/obligations,Long-term and total obligations,https://doi.org/10.3390/fi14080244
American,X12,EBIT,Profitability/earnings,Operating earnings,https://doi.org/10.3390/fi14080244
American,X13,Gross profit,Profitability/earnings,Operating earnings,https://doi.org/10.3390/fi14080244
American,X14,Total current liabilities,Solvency/obligations,Current liquidity position,https://doi.org/10.3390/fi14080244
American,X15,Retained earnings,Profitability/earnings,Net and accumulated earnings,https://doi.org/10.3390/fi14080244
American,X16,Total revenue,Scale/market position,Revenue and sales scale,https://doi.org/10.3390/fi14080244
American,X17,Total liabilities,Solvency/obligations,Long-term and total obligations,https://doi.org/10.3390/fi14080244
American,X18,Total operating expenses,Operating activity,Cost structure,https://doi.org/10.3390/fi14080244
